model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
2,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
3,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
4,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
5,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
6,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
7,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
8,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
9,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
10,0.825016633399867,0.5599494365323106,0.502097592603828,0.5189817846928311
