model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8882235528942116,0.8421871484237246,0.795314921516959,0.8161042368529839
2,0.8915502328675982,0.8512417372353885,0.80293838565649,0.8244452311357814
3,0.8882235528942116,0.8430187839526587,0.7948775544587866,0.816221256226923
4,0.8895542248835662,0.8433085704923524,0.798301700902489,0.8180941964920733
5,0.8908848968729208,0.847591135880408,0.8000229337614463,0.8211219974120683
6,0.8882235528942116,0.8451737468175268,0.7910234400375239,0.8144718346640254
7,0.8908848968729208,0.8437299270452308,0.8032239300507901,0.8212577151233834
8,0.8888888888888888,0.845229662592514,0.803808139163299,0.8225424499924181
9,0.8888888888888888,0.84313272206704,0.7981596957903048,0.8179255695405662
10,0.8902195608782435,0.8455380057265565,0.8048055762686397,0.8231023016639295
