model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8908848968729208,0.8478284849530382,0.7955245110157245,0.8182618872506785
2,0.8908848968729208,0.8540223940929873,0.8013591579097167,0.8249949586153207
3,0.8895542248835662,0.848047393367049,0.7975882740215164,0.8200643696374309
4,0.8888888888888888,0.8480795634253265,0.7977930063538302,0.8201194219915209
5,0.8908848968729208,0.851154919218157,0.7931081705500072,0.8187563348705363
6,0.8922155688622755,0.8539850828640793,0.803080390768674,0.825898688309862
7,0.8888888888888888,0.8465514284411803,0.7992198601157753,0.8201368792993989
8,0.8895542248835662,0.8459334838648678,0.7938240159020558,0.816389450767363
9,0.8888888888888888,0.8482397944974338,0.7987824930576027,0.8206729719579149
10,0.8908848968729208,0.8480903263095675,0.7999323041477716,0.8210533363314624
