model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8842315369261478,0.8736001754660989,0.7492183591157975,0.8008275098877903
2,0.8842315369261478,0.8696679375316586,0.7451689969337211,0.796865075852164
3,0.8835662009314704,0.8717579751496803,0.745303051644337,0.7976445637552884
4,0.8835662009314704,0.8723333648831747,0.7456497890888348,0.7982253242128321
5,0.8815701929474384,0.8688484944550582,0.7427160179195786,0.7951184244433172
6,0.884896872920825,0.8720691971345158,0.7445975751649326,0.7972088692000542
7,0.8829008649367931,0.8708850046084528,0.7437341927702079,0.796312898328036
8,0.8835662009314704,0.8749950050856551,0.7431524021287751,0.797396690095301
9,0.884896872920825,0.8764141692403321,0.7455870618687052,0.7997286615736071
10,0.8815701929474384,0.8700588188563533,0.7410131043348338,0.7944595565157193
