model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8303393213572854,0.7075218592976109,0.6968435175418234,0.7001750731274745
2,0.8296739853626082,0.6998867990241967,0.6962641453714667,0.6962718449411816
3,0.8330006653359947,0.7072760116724927,0.7022649566672831,0.7029361668127266
4,0.8323353293413174,0.7061684716985831,0.6986360778912667,0.6999168512541185
5,0.8330006653359947,0.7090957594548221,0.69229031797754,0.698426521478855
6,0.8323353293413174,0.7074024616239555,0.7000533485338796,0.701727504466621
7,0.833666001330672,0.7079292426657989,0.7014174750756946,0.7025728915848723
8,0.8303393213572854,0.6997950248165818,0.6940700707589637,0.6954109385796653
9,0.8343313373253493,0.708297249963536,0.7053224136745108,0.7048909565125961
10,0.8330006653359947,0.701970961054959,0.7008880427817473,0.6999399044627366
