experiment,net,kind,algorithm,feature_augmentation,data_augmentation,hair_removal,segmentation,model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,1.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,2.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,3.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,4.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,5.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,6.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,7.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,8.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,9.0,0.7684630738522954,0.4358038058682671,0.3278145413602985,0.3614265373317241
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,adaboost,False,False,False,False,10.0,0.7684630738522954,0.4357147643297469,0.3278145413602985,0.3613719629798803
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,1.0,0.8356620093147039,0.7581740226066588,0.6781298413070574,0.7140900705361001
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,2.0,0.8356620093147039,0.7557545183849338,0.6609947004476965,0.7022876327926406
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,3.0,0.8369926813040586,0.7563786038028277,0.6720276363127897,0.709701784822153
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,4.0,0.8349966733200266,0.7355327219140853,0.6614858614754546,0.6947170669208942
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,5.0,0.8363273453093812,0.7418369829040365,0.6710913922576468,0.7029575796406032
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,6.0,0.8383233532934131,0.7462812397514502,0.6787185995010824,0.7091755672991497
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,7.0,0.8356620093147039,0.7420845121000799,0.6713160765819374,0.7033677950810687
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,8.0,0.8349966733200266,0.7471089796562378,0.6704295379708479,0.7050049381287772
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,9.0,0.8403193612774451,0.7500125040987865,0.678335614049339,0.7109093370246581
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,extratrees,False,False,False,False,10.0,0.8369926813040586,0.7455195967910261,0.6661121773568114,0.7013619560475507
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,1.0,0.8363273453093812,0.7791832754026545,0.659967284261587,0.7114920460767584
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,2.0,0.8330006653359947,0.782787862792134,0.6535989977759843,0.708672964992797
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,3.0,0.8349966733200266,0.7954168214981711,0.6562067692460313,0.7144955041334813
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,4.0,0.8303393213572854,0.7837447743869168,0.652674656763418,0.7083546841215219
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,5.0,0.8356620093147039,0.7829070922617819,0.6557363459635617,0.7098346544381444
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,6.0,0.833666001330672,0.7833356448741793,0.6497110538185522,0.7058861278870562
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,7.0,0.833666001330672,0.7834157063051231,0.6507005405223246,0.7062632376690683
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,8.0,0.8349966733200266,0.7828582322499227,0.6476693531908776,0.7043777917712789
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,9.0,0.8369926813040586,0.7887732564759082,0.6583960069163819,0.7139418541367272
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,randomforest,False,False,False,False,10.0,0.8330006653359947,0.7745002045820357,0.653343675698473,0.7053137611381143
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,1.0,0.825016633399867,0.7761972058139305,0.6122967864582728,0.67417214635608
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,2.0,0.8263473053892215,0.7650168108412397,0.6140180193172303,0.6735493226524099
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,3.0,0.8256819693945442,0.7805773494661938,0.6138760142050462,0.6768605020051275
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,4.0,0.8236859614105123,0.7769056863152546,0.6120127762339047,0.6742645637757662
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,5.0,0.8263473053892215,0.7785591101171045,0.6140180193172303,0.6761317969753854
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,6.0,0.8256819693945442,0.7682192766969627,0.6138760142050462,0.674719846920539
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,7.0,0.8256819693945442,0.7647772223820899,0.6124387915704569,0.6725267379708869
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,8.0,0.8256819693945442,0.7776930954607442,0.6131522184514295,0.6752910330353131
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,9.0,0.8243512974051896,0.7756547149901881,0.6121444124734444,0.6738734936271022
feature_extraction_Inception_use_augmentation_,Inception,feature_extractor,xgboost,False,False,False,False,10.0,0.8263473053892215,0.781301905905696,0.6140180193172303,0.6772457836531179
