model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8882235528942116,0.82984050365514,0.8346267403076723,0.8311410946157746
2,0.8928809048569527,0.830028099821614,0.8367216301556962,0.8325848007962108
3,0.8915502328675982,0.8337434662632041,0.8402608621670139,0.8358319260817684
4,0.8895542248835662,0.8286789972490085,0.8335745263837699,0.829919869297546
5,0.8902195608782435,0.8306106041884486,0.8308519037784636,0.8292245887062298
6,0.8915502328675982,0.8395490723666968,0.8426875715053758,0.8393990438529597
7,0.8942115768463074,0.8301528936131507,0.8397687182902797,0.8339366384221804
8,0.8922155688622755,0.8339457371636341,0.8411370319054592,0.8362383205667598
9,0.8908848968729208,0.8321090890544269,0.8386920032928848,0.8340756602871646
10,0.8895542248835662,0.8276442103576293,0.836358342039274,0.830638674296663
