model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
1,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
1,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
1,3,df,0.0,0.0,0.0,17.0
1,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
1,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
1,6,vasc,0.0,0.0,0.0,22.0
2,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
2,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
2,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
2,3,df,0.0,0.0,0.0,17.0
2,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
2,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
2,6,vasc,0.0,0.0,0.0,22.0
3,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
3,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
3,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
3,3,df,0.0,0.0,0.0,17.0
3,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
3,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
3,6,vasc,0.0,0.0,0.0,22.0
4,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
4,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
4,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
4,3,df,0.0,0.0,0.0,17.0
4,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
4,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
4,6,vasc,0.0,0.0,0.0,22.0
5,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
5,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
5,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
5,3,df,0.0,0.0,0.0,17.0
5,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
5,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
5,6,vasc,0.0,0.0,0.0,22.0
6,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
6,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
6,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
6,3,df,0.0,0.0,0.0,17.0
6,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
6,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
6,6,vasc,0.0,0.0,0.0,22.0
7,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
7,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
7,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
7,3,df,0.0,0.0,0.0,17.0
7,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
7,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
7,6,vasc,0.0,0.0,0.0,22.0
8,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
8,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
8,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
8,3,df,0.0,0.0,0.0,17.0
8,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
8,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
8,6,vasc,0.0,0.0,0.0,22.0
9,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
9,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
9,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
9,3,df,0.0,0.0,0.0,17.0
9,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
9,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
9,6,vasc,0.0,0.0,0.0,22.0
10,0,akiec,0.918918918918919,0.6938775510204082,0.7906976744186046,49.0
10,1,bcc,0.5,0.012987012987012988,0.02531645569620253,77.0
10,2,bkl,0.38699690402476783,0.7575757575757576,0.5122950819672131,165.0
10,3,df,0.0,0.0,0.0,17.0
10,4,mel,0.9027777777777778,0.38922155688622756,0.5439330543933054,167.0
10,5,nv,0.8999064546304958,0.9562624254473161,0.9272289156626506,1006.0
10,6,vasc,0.0,0.0,0.0,22.0
