model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8875582168995343,0.8887239451534937,0.7625635437251725,0.8146290305511749
2,0.8822355289421158,0.8815518236944059,0.7516499878525551,0.8048965979616706
3,0.886892880904857,0.8876140415474085,0.7609946848510435,0.8126991505423842
4,0.8882235528942116,0.8918781018587699,0.7620024908290283,0.8151401011632465
5,0.886892880904857,0.8906223307607222,0.7617184806046603,0.8145909095191641
6,0.8875582168995343,0.8889525170471126,0.7601472032594551,0.812970611870486
7,0.8862275449101796,0.8905250489073671,0.7605869887887039,0.8139787409182709
8,0.8855622089155023,0.8881001795670436,0.7580079054655137,0.8112867807243351
9,0.8842315369261478,0.8834004841688102,0.757387526669292,0.8090077412183136
10,0.8855622089155023,0.8877718337258983,0.7562946230081246,0.810545023588431
