model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8795741849634066,0.8444167668087782,0.7623949147119162,0.7944756803735283
2,0.8782435129740519,0.8487928064974508,0.7599602549719862,0.7948529969950361
3,0.8789088489687292,0.8414462953618861,0.7551672435921484,0.789860014862325
4,0.8795741849634066,0.8346472513760259,0.757032900034366,0.7883447138797852
5,0.8795741849634066,0.8435228865673388,0.7616814878309437,0.7933455000585655
6,0.8782435129740519,0.8327886708564998,0.7550252384799644,0.7860856205699072
7,0.8782435129740519,0.8405166979417255,0.7606736818529587,0.7918809393000326
8,0.8782435129740519,0.8415892879136957,0.7606736818529587,0.7920559084718685
9,0.8782435129740519,0.8416824059461331,0.7606736818529587,0.7920343561899184
10,0.8795741849634066,0.8441527851560833,0.7616711189582992,0.7940167378546628
