model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8895542248835662,0.8464241579979757,0.7910298313739075,0.81526153938995
2,0.8882235528942116,0.8446363834360395,0.781681181734411,0.8088364122845888
3,0.8895542248835662,0.8470356452236592,0.7910298313739075,0.8155463897220817
4,0.8902195608782435,0.846560347513553,0.7890413733948625,0.8134085013025568
5,0.8882235528942116,0.8450603905071322,0.7883087429385334,0.8132327547741911
6,0.8875582168995343,0.8459197030164863,0.7864534553689602,0.8128062128070094
7,0.8888888888888888,0.8457783697716055,0.7902347081298047,0.8143556120761702
8,0.8902195608782435,0.8491944474303287,0.7919060011123528,0.8171231241790199
9,0.8895542248835662,0.8470022060486817,0.7900403446701352,0.8151664234751362
10,0.8895542248835662,0.8463725951017637,0.7910402002465519,0.8152297995398792
