model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8962075848303394,0.8555393326498576,0.8107307132416335,0.8312602260268236
2,0.89354624085163,0.8519178029153496,0.8095186189007945,0.8286196778747966
3,0.8908848968729208,0.8406561200848044,0.8023823382527612,0.8197798711826915
4,0.8982035928143712,0.8888786229030242,0.8294501485513232,0.8567959623264153
5,0.8922155688622755,0.8601789153198448,0.7972835960542904,0.8250474343233261
6,0.8902195608782435,0.8650639043496187,0.8141662736389007,0.8374449198240665
7,0.8888888888888888,0.8553552624321679,0.8197984744249063,0.8362199936565283
8,0.8968729208250167,0.8575717945205661,0.8290959010369414,0.8417758114661359
9,0.9015302727877578,0.852350254793444,0.8226026616415297,0.8354937547473451
10,0.8975382568196939,0.8668924196797096,0.8188870934514078,0.8415177403547759
