model_idx,class_idx,class_name,precision,recall,f1_score,support
1,0,akiec,0.813953488372093,0.7142857142857143,0.7608695652173914,49.0
1,1,bcc,0.8108108108108109,0.7792207792207793,0.7947019867549668,77.0
1,2,bkl,0.7901234567901234,0.7757575757575758,0.7828746177370031,165.0
1,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
1,4,mel,0.7964601769911505,0.5389221556886228,0.6428571428571429,167.0
1,5,nv,0.910268270120259,0.9781312127236581,0.9429803545759463,1006.0
1,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
2,0,akiec,0.7954545454545454,0.7142857142857143,0.7526881720430108,49.0
2,1,bcc,0.8133333333333334,0.7922077922077922,0.8026315789473685,77.0
2,2,bkl,0.803680981595092,0.793939393939394,0.7987804878048781,165.0
2,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
2,4,mel,0.8272727272727273,0.5449101796407185,0.6570397111913358,167.0
2,5,nv,0.9121184088806661,0.9801192842942346,0.9448969813128894,1006.0
2,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
3,0,akiec,0.7906976744186046,0.6938775510204082,0.7391304347826086,49.0
3,1,bcc,0.8133333333333334,0.7922077922077922,0.8026315789473685,77.0
3,2,bkl,0.8024691358024691,0.7878787878787878,0.7951070336391437,165.0
3,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
3,4,mel,0.8288288288288288,0.5508982035928144,0.6618705035971223,167.0
3,5,nv,0.911275415896488,0.9801192842942346,0.9444444444444444,1006.0
3,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
4,0,akiec,0.7954545454545454,0.7142857142857143,0.7526881720430108,49.0
4,1,bcc,0.8133333333333334,0.7922077922077922,0.8026315789473685,77.0
4,2,bkl,0.8074534161490683,0.7878787878787878,0.7975460122699386,165.0
4,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
4,4,mel,0.8303571428571429,0.5568862275449101,0.6666666666666666,167.0
4,5,nv,0.9111933395004626,0.9791252485089463,0.9439386679444178,1006.0
4,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
5,0,akiec,0.7906976744186046,0.6938775510204082,0.7391304347826086,49.0
5,1,bcc,0.8,0.7792207792207793,0.7894736842105263,77.0
5,2,bkl,0.8048780487804879,0.8,0.8024316109422492,165.0
5,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
5,4,mel,0.8157894736842105,0.5568862275449101,0.6619217081850534,167.0
5,5,nv,0.9136490250696379,0.9781312127236581,0.9447911665866539,1006.0
5,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
6,0,akiec,0.7906976744186046,0.6938775510204082,0.7391304347826086,49.0
6,1,bcc,0.8108108108108109,0.7792207792207793,0.7947019867549668,77.0
6,2,bkl,0.8159509202453987,0.806060606060606,0.8109756097560976,165.0
6,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
6,4,mel,0.8272727272727273,0.5449101796407185,0.6570397111913358,167.0
6,5,nv,0.9104339796860572,0.9801192842942346,0.9439923408329344,1006.0
6,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
7,0,akiec,0.7906976744186046,0.6938775510204082,0.7391304347826086,49.0
7,1,bcc,0.8133333333333334,0.7922077922077922,0.8026315789473685,77.0
7,2,bkl,0.7975460122699386,0.7878787878787878,0.7926829268292683,165.0
7,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
7,4,mel,0.8181818181818182,0.5389221556886228,0.6498194945848376,167.0
7,5,nv,0.910351201478743,0.9791252485089463,0.9434865900383141,1006.0
7,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
8,0,akiec,0.7906976744186046,0.6938775510204082,0.7391304347826086,49.0
8,1,bcc,0.8108108108108109,0.7792207792207793,0.7947019867549668,77.0
8,2,bkl,0.8074534161490683,0.7878787878787878,0.7975460122699386,165.0
8,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
8,4,mel,0.8288288288288288,0.5508982035928144,0.6618705035971223,167.0
8,5,nv,0.9086715867158671,0.9791252485089463,0.9425837320574163,1006.0
8,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
9,0,akiec,0.7954545454545454,0.7142857142857143,0.7526881720430108,49.0
9,1,bcc,0.8,0.7792207792207793,0.7894736842105263,77.0
9,2,bkl,0.8074534161490683,0.7878787878787878,0.7975460122699386,165.0
9,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
9,4,mel,0.808695652173913,0.5568862275449101,0.6595744680851063,167.0
9,5,nv,0.9128014842300557,0.9781312127236581,0.944337811900192,1006.0
9,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
10,0,akiec,0.7954545454545454,0.7142857142857143,0.7526881720430108,49.0
10,1,bcc,0.8108108108108109,0.7792207792207793,0.7947019867549668,77.0
10,2,bkl,0.8109756097560976,0.806060606060606,0.8085106382978723,165.0
10,3,df,1.0,0.6470588235294118,0.7857142857142857,17.0
10,4,mel,0.8053097345132744,0.5449101796407185,0.65,167.0
10,5,nv,0.911873840445269,0.9771371769383698,0.9433781190019194,1006.0
10,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
