model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.874251497005988,0.8657595737661333,0.7320748197526975,0.7868299514773606
2,0.8755821689953427,0.8665378752598958,0.7347855393154273,0.7886934897912499
3,0.874251497005988,0.8650920765905763,0.7320851886253419,0.7864334979188141
4,0.8749168330006654,0.8648328153894926,0.7336540474994709,0.7872932378326167
5,0.8755821689953427,0.8649100893710712,0.7317360327097678,0.7863041972836333
6,0.8755821689953427,0.8654544972220287,0.733796052611655,0.78778084595479
7,0.8735861610113107,0.8631815337205618,0.7298727947386263,0.7844021867013999
8,0.8749168330006654,0.8668288096282831,0.7339404761949152,0.7883356445527486
9,0.8762475049900199,0.8677851692040358,0.733938057723839,0.788852422445417
10,0.8762475049900199,0.8670180462954713,0.7363751359348452,0.7897619107652943
