model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.825016633399867,0.7761972058139305,0.6122967864582728,0.67417214635608
2,0.8263473053892215,0.7650168108412397,0.6140180193172303,0.6735493226524099
3,0.8256819693945442,0.7805773494661938,0.6138760142050462,0.6768605020051275
4,0.8236859614105123,0.7769056863152546,0.6120127762339047,0.6742645637757662
5,0.8263473053892215,0.7785591101171045,0.6140180193172303,0.6761317969753854
6,0.8256819693945442,0.7682192766969627,0.6138760142050462,0.674719846920539
7,0.8256819693945442,0.7647772223820899,0.6124387915704569,0.6725267379708869
8,0.8256819693945442,0.7776930954607442,0.6131522184514295,0.6752910330353131
9,0.8243512974051896,0.7756547149901881,0.6121444124734444,0.6738734936271022
10,0.8263473053892215,0.781301905905696,0.6140180193172303,0.6772457836531179
